block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Daily_SSE,Last-value_SSE,Inverted42_SSE,Joint-patch Transformer42_SSE,Joint-patch Transformer43_SSE,Joint-patch Transformer44_SSE,site,period,support,horizon,scope,block_hours
23,19592.0,40751.82142401057,7017.142078196764,40751.82142401057,7017.142078196764,11236.025060936716,200240.2353617041,23504.614485195973,23556.4518561831,18166.012333581566,14951.294730515194,Sanyo,Alice2018Test,S2_new_origins,144,full,24
0,41184.0,24501.033966815194,767.6410865200131,24501.033966815194,767.6410865200131,35.754170080653026,423568.91225132375,12345.94971140254,13417.979559455256,10112.432025476133,10247.252669455322,Sanyo,Alice2018Test,S2_new_origins,144,full,48
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sanyo,Alice2018Test,S2_new_origins,144,full,48
2,20736.0,10544.849289342952,565.1698269470648,10544.849289342952,565.1698269470648,10.464088879182421,228686.14675285036,6020.93156094839,6439.699059078452,4539.501801961894,4424.681840968553,Sanyo,Alice2018Test,S2_new_origins,144,full,48
3,40898.0,29131.435102105355,1141.6374486973198,29131.435102105355,1141.6374486973198,102.71463231962798,422882.8246069033,15941.419811164338,16411.55103920356,11465.668618035981,12134.285936140835,Sanyo,Alice2018Test,S2_new_origins,144,full,48
4,41184.0,42247.511052708214,1108.0020595041458,42247.511052708214,1108.0020595041458,83.50194152715942,412253.4478395376,22879.963652627077,23463.67368850363,17847.60732354425,15505.851522570754,Sanyo,Alice2018Test,S2_new_origins,144,full,48
5,20592.0,15974.872474847274,611.8223818304529,15974.872474847274,611.8223818304529,21.207775733002382,213027.3183408382,12255.156382761412,12472.580049257655,8648.094373358648,8410.36029532667,Sanyo,Alice2018Test,S2_new_origins,144,full,48
6,41328.0,22393.99989915737,1450.8738895212834,22393.99989915737,1450.8738895212834,99.2967146356236,459672.1620296737,13982.22333523164,11822.579030187957,9297.914710126191,8246.020309837168,Sanyo,Alice2018Test,S2_new_origins,144,full,48
7,20592.0,16330.428708624218,914.2782499098353,16330.428708624218,914.2782499098353,81.9956455809277,218975.4417592983,16472.416357671267,8539.807896340455,7047.536770066666,5481.897944204408,Sanyo,Alice2018Test,S2_new_origins,144,full,48
8,20736.0,18386.750866590683,737.1769592911246,18386.750866590683,737.1769592911246,39.22286831003037,226629.92969456827,11294.922187567154,11260.066257866947,7409.280546038397,7695.141211449518,Sanyo,Alice2018Test,S2_new_origins,144,full,48
9,41185.0,23086.81003366105,1346.8544198550424,23086.81003366105,1346.8544198550424,88.22657981766693,440126.49138875457,13112.167149192499,14579.200221881882,10445.344343760038,10161.85003839392,Sanyo,Alice2018Test,S2_new_origins,144,full,48
10,40898.0,53148.37647440828,1755.3069879919265,53148.37647440828,1755.3069879919265,14.703399532504172,421908.0947063352,31121.052605144814,39850.79216953621,29469.522712145063,24263.48700839498,Sanyo,Alice2018Test,S2_new_origins,144,full,48
11,40185.0,74755.30731955655,12986.785116960335,74755.30731955655,12986.785116960335,20215.4855863807,387895.32710920076,50011.53827148237,51050.41236953774,37628.26106289684,33905.1519660446,Sanyo,Alice2018Test,S2_new_origins,144,full,48
0,41184.0,24501.033966815194,767.6410865200131,24501.033966815194,767.6410865200131,35.754170080653026,423568.91225132375,12345.94971140254,13417.979559455256,10112.432025476133,10247.252669455322,Sanyo,Alice2018Test,S2_new_origins,144,full,72
1,20736.0,10544.849289342952,565.1698269470648,10544.849289342952,565.1698269470648,10.464088879182421,228686.14675285036,6020.93156094839,6439.699059078452,4539.501801961894,4424.681840968553,Sanyo,Alice2018Test,S2_new_origins,144,full,72
2,61490.0,49471.99402831749,1697.1427972965105,49471.99402831749,1697.1427972965105,145.1836356947628,625934.5097657406,24442.229229493718,24921.272985910076,17899.323749392286,17703.062344276954,Sanyo,Alice2018Test,S2_new_origins,144,full,72
3,41184.0,37881.82460134332,1164.3190927354078,37881.82460134332,1164.3190927354078,62.24071388502708,422229.0810215388,26634.310617059105,27426.531791054735,20062.04656554658,18347.435409761314,Sanyo,Alice2018Test,S2_new_origins,144,full,72
4,61920.0,38724.42860778159,2365.1521394311194,38724.42860778159,2365.1521394311194,181.29236021655146,678647.6037889727,30454.639692902892,20362.386926528412,16345.451480192853,13727.918254041571,Sanyo,Alice2018Test,S2_new_origins,144,full,72
5,20736.0,18386.750866590683,737.1769592911246,18386.750866590683,737.1769592911246,39.22286831003037,226629.92969456827,11294.922187567154,11260.066257866947,7409.280546038397,7695.141211449518,Sanyo,Alice2018Test,S2_new_origins,144,full,72
6,61634.0,46124.83609115639,2183.658707414124,46124.83609115639,2183.658707414124,94.98250655674231,652861.7790626482,25620.90777573139,30213.67288585651,23049.78734406005,19092.686540101513,Sanyo,Alice2018Test,S2_new_origins,144,full,72
